Geographic Area Name,Estimate Population
"Portland-Vancouver-Hillsboro, OR-WA Metro Area",2493221
"Poughkeepsie-Newburgh-Middletown, NY Metro Area",679158
"Providence-Warwick, RI-MA Metro Area",1624578
"Provo-Orem, UT Metro Area",649603
"Raleigh-Cary, NC Metro Area",1390785
"Richmond, VA Metro Area",1290866
"Riverside-San Bernardino-Ontario, CA Metro Area",4650631
"Rochester, NY Metro Area",1069644
"Sacramento-Roseville-Folsom, CA Metro Area",2363730
"St. Louis, MO-IL Metro Area",2801423
"Salt Lake City, UT Metro Area",1232696
"San Antonio-New Braunfels, TX Metro Area",2550960
"San Diego-Chula Vista-Carlsbad, CA Metro Area",3338330
"San Francisco-Oakland-Berkeley, CA Metro Area",4731803
"San Jose-Sunnyvale-Santa Clara, CA Metro Area",1990660
"Santa Rosa-Petaluma, CA Metro Area",494336
"Scranton--Wilkes-Barre, PA Metro Area",553885
"Seattle-Tacoma-Bellevue, WA Metro Area",3979845
"Spokane-Spokane Valley, WA Metro Area",568521
"Springfield, MA Metro Area",697382
"Stockton, CA Metro Area",762148
"Syracuse, NY Metro Area",648593
"Tampa-St. Petersburg-Clearwater, FL Metro Area",3194831
"Toledo, OH Metro Area",641816
"Tucson, AZ Metro Area",1047279
"Tulsa, OK Metro Area",998655
"Urban Honolulu, HI Metro Area",974563
"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",1765031
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",6280697
"Wichita, KS Metro Area",640218
"Winston-Salem, NC Metro Area",676008
"Worcester, MA-CT Metro Area",947404
"Youngstown-Warren-Boardman, OH-PA Metro Area",536081
United States,328239523
