"Notes"	"2013 CBSA"	"2013 CBSA Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"Hartford-West Hartford-East Hartford, CT"	"25540"	183771	21461428	856.3	852.4	860.2	2.0
	"Hickory-Lenoir-Morganton, NC"	"25860"	63647	6424802	990.6	982.9	998.3	3.9
	"Houston-The Woodlands-Sugar Land, TX"	"26420"	585725	101331417	578.0	576.5	579.5	0.8
	"Huntington-Ashland, WV-KY-OH"	"26580"	75584	6528934	1157.7	1149.4	1165.9	4.2
	"Huntsville, AL"	"26620"	56971	7115660	800.6	794.1	807.2	3.4
	"Indianapolis-Carmel-Anderson, IN"	"26900"	264186	32939176	802.0	799.0	805.1	1.6
	"Jackson, MS"	"27140"	87830	10005118	877.9	872.0	883.7	3.0
	"Jacksonville, FL"	"27260"	195162	23292157	837.9	834.2	841.6	1.9
	"Kalamazoo-Portage, MI"	"28020"	48152	5840910	824.4	817.0	831.8	3.8
	"Kansas City, MO-KS"	"28140"	282543	35220967	802.2	799.2	805.2	1.5
	"Kennewick-Richland, WA"	"28420"	26648	4251915	626.7	619.2	634.3	3.8
	"Killeen-Temple, TX"	"28660"	43050	6870431	626.6	620.7	632.5	3.0
	"Kingsport-Bristol-Bristol, TN-VA"	"28700"	65768	5482591	1199.6	1190.4	1208.7	4.7
	"Knoxville, TN"	"28940"	148709	14602847	1018.4	1013.2	1023.5	2.6
	"Lafayette, LA"	"29180"	69507	8200910	847.6	841.3	853.9	3.2
	"Lakeland-Winter Haven, FL"	"29460"	103504	10292483	1005.6	999.5	1011.8	3.1
	"Lancaster, PA"	"29540"	81482	9108737	894.5	888.4	900.7	3.1
	"Lansing-East Lansing, MI"	"29620"	60518	8320952	727.3	721.5	733.1	3.0
	"Laredo, TX"	"29700"	20144	4227741	476.5	469.9	483.1	3.4
	"Las Vegas-Henderson-Paradise, NV"	"29820"	233193	32448616	718.7	715.7	721.6	1.5
	"Lexington-Fayette, KY"	"30460"	62732	8189765	766.0	760.0	772.0	3.1
	"Lincoln, NE"	"30700"	36027	5303577	679.3	672.3	686.3	3.6
	"Little Rock-North Little Rock-Conway, AR"	"30780"	105694	12131813	871.2	866.0	876.5	2.7
	"Los Angeles-Long Beach-Anaheim, CA"	"31080"	1387978	230389970	602.4	601.4	603.4	0.5
	"Louisville/Jefferson County, KY-IN"	"31140"	202379	21656473	934.5	930.4	938.6	2.1
	"Lubbock, TX"	"31180"	41154	5075381	810.9	803.0	818.7	4.0
	"Lynchburg, VA"	"31340"	43215	4409496	980.0	970.8	989.3	4.7
	"Madison, WI"	"31540"	69792	10617266	657.3	652.5	662.2	2.5
	"Manchester-Nashua, NH"	"31700"	52505	7140546	735.3	729.0	741.6	3.2
	"McAllen-Edinburg-Mission, TX"	"32580"	62294	12903062	482.8	479.0	486.6	1.9
	"Memphis, TN-MS-AR"	"32820"	197996	23240503	851.9	848.2	855.7	1.9
	"Merced, CA"	"32900"	27181	4410116	616.3	609.0	623.7	3.7
	"Miami-Fort Lauderdale-West Palm Beach, FL"	"33100"	850754	98965609	859.6	857.8	861.5	0.9
	"Milwaukee-Waukesha-West Allis, WI"	"33340"	233855	27701147	844.2	840.8	847.6	1.7
	"Minneapolis-St. Paul-Bloomington, MN-WI"	"33460"	371270	59060084	628.6	626.6	630.7	1.0
	"Mobile, AL"	"33660"	73428	7320274	1003.1	995.8	1010.3	3.7
	"Modesto, CA"	"33700"	67054	9025208	743.0	737.3	748.6	2.9
	"Montgomery, AL"	"33860"	59302	6554269	904.8	897.5	912.1	3.7
	"Myrtle Beach-Conway-North Myrtle Beach, SC-NC"	"34820"	62290	6291478	990.1	982.3	997.8	4.0
	"Naples-Immokalee-Marco Island, FL"	"34940"	48996	5577421	878.5	870.7	886.2	4.0
	"Nashville-Davidson--Murfreesboro--Franklin, TN"	"34980"	225307	28789534	782.6	779.4	785.8	1.6
	"New Haven-Milford, CT"	"35300"	137829	15294293	901.2	896.4	905.9	2.4
	"New Orleans-Metairie, LA"	"35380"	202917	22599954	897.9	894.0	901.8	2.0
	"New York-Newark-Jersey City, NY-NJ-PA"	"35620"	2593665	350505486	740.0	739.1	740.9	0.5
	"North Port-Sarasota-Bradenton, FL"	"35840"	152074	12301144	1236.3	1230.0	1242.5	3.2
	"Norwich-New London, CT"	"35980"	40397	4842786	834.2	826.0	842.3	4.2
	"Ocala, FL"	"36100"	74046	5593272	1323.8	1314.3	1333.4	4.9
	"Ogden-Clearfield, UT"	"36260"	58284	10172408	573.0	568.3	577.6	2.4
	"Oklahoma City, OK"	"36420"	187441	21907918	855.6	851.7	859.5	2.0
	"Olympia-Tumwater, WA"	"36500"	32987	4315530	764.4	756.1	772.6	4.2
	"Omaha-Council Bluffs, NE-IA"	"36540"	111830	15125277	739.4	735.0	743.7	2.2
	"Orlando-Kissimmee-Sanford, FL"	"36740"	262575	36598657	717.4	714.7	720.2	1.4
	"Oxnard-Thousand Oaks-Ventura, CA"	"37100"	90726	14508263	625.3	621.3	629.4	2.1
	"Palm Bay-Melbourne-Titusville, FL"	"37340"	106669	9534289	1118.8	1112.1	1125.5	3.4
	"Pensacola-Ferry Pass-Brent, FL"	"37860"	74115	8019921	924.1	917.5	930.8	3.4
	"Peoria, IL"	"37900"	66878	6726650	994.2	986.7	1001.8	3.8
	"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"	"37980"	963096	106004908	908.5	906.7	910.4	0.9
	"Phoenix-Mesa-Scottsdale, AZ"	"38060"	494578	71259632	694.1	692.1	696.0	1.0
	"Pittsburgh, PA"	"38300"	499185	42786147	1166.7	1163.5	1169.9	1.7
	"Portland-South Portland, ME"	"38860"	80948	9189623	880.9	874.8	886.9	3.1
	"Portland-Vancouver-Hillsboro, OR-WA"	"38900"	278389	38802305	717.5	714.8	720.1	1.4
	"Port St. Lucie, FL"	"38940"	78443	7137653	1099.0	1091.3	1106.7	3.9
	"Providence-Warwick, RI-MA"	"39300"	267481	28872395	926.4	922.9	929.9	1.8
	"Provo-Orem, UT"	"39340"	35749	8716146	410.1	405.9	414.4	2.2
	"Raleigh, NC"	"39580"	103176	18726744	551.0	547.6	554.3	1.7
	"Reading, PA"	"39740"	65926	7195334	916.2	909.2	923.2	3.6
	"Reno, NV"	"39900"	57269	7290022	785.6	779.1	792.0	3.3
	"Richmond, VA"	"40060"	173340	21046257	823.6	819.7	827.5	2.0
	"Riverside-San Bernardino-Ontario, CA"	"40140"	473308	71562879	661.4	659.5	663.3	1.0
	"Roanoke, VA"	"40220"	58656	5436453	1078.9	1070.2	1087.7	4.5
	"Rochester, NY"	"40380"	167168	19345310	864.1	860.0	868.3	2.1
	"Rockford, IL"	"40420"	53648	6082770	882.0	874.5	889.4	3.8
	"Sacramento--Roseville--Arden-Arcade, CA"	"40900"	270864	37285686	726.5	723.7	729.2	1.4
	"St. Louis, MO-IL"	"41180"	454979	49541012	918.4	915.7	921.1	1.4
	"Salem, OR"	"41420"	56899	6827503	833.4	826.5	840.2	3.5
	"Salinas, CA"	"41500"	42821	7445393	575.1	569.7	580.6	2.8
	"Salisbury, MD-DE"	"41540"	67268	6435204	1045.3	1037.4	1053.2	4.0
	"Salt Lake City, UT"	"41620"	106380	18889750	563.2	559.8	566.5	1.7
	"San Antonio-New Braunfels, TX"	"41700"	257639	36635907	703.2	700.5	706.0	1.4
	"San Diego-Carlsbad, CA"	"41740"	357157	54665674	653.3	651.2	655.5	1.1
	"San Francisco-Oakland-Hayward, CA"	"41860"	520788	77464278	672.3	670.5	674.1	0.9
	"San Jose-Sunnyvale-Santa Clara, CA"	"41940"	168945	32640337	517.6	515.1	520.1	1.3
	"San Luis Obispo-Paso Robles-Arroyo Grande, CA"	"42020"	38690	4756823	813.4	805.3	821.5	4.1
	"Santa Cruz-Watsonville, CA"	"42100"	30074	4679980	642.6	635.3	649.9	3.7
	"Santa Maria-Santa Barbara, CA"	"42200"	52722	7529180	700.2	694.3	706.2	3.0
	"Santa Rosa, CA"	"42220"	69453	8587373	808.8	802.8	814.8	3.1
	"Savannah, GA"	"42340"	50540	6010550	840.9	833.5	848.2	3.7
	"Scranton--Wilkes-Barre--Hazleton, PA"	"42540"	129771	10073856	1288.2	1281.2	1295.2	3.6
	"Seattle-Tacoma-Bellevue, WA"	"42660"	397216	60389605	657.8	655.7	659.8	1.0
	"Shreveport-Bossier City, LA"	"43340"	79139	7777221	1017.6	1010.5	1024.7	3.6
	"South Bend-Mishawaka, IN-MI"	"43780"	53630	5728087	936.3	928.3	944.2	4.0
	"Spartanburg, SC"	"43900"	55587	5476055	1015.1	1006.7	1023.5	4.3
	"Spokane-Spokane Valley, WA"	"44060"	80591	9185708	877.4	871.3	883.4	3.1
	"Springfield, MA"	"44140"	101956	11154049	914.1	908.5	919.7	2.9
	"Springfield, MO"	"44180"	68463	7511056	911.5	904.7	918.3	3.5
	"Stockton-Lodi, CA"	"44700"	85769	11877799	722.1	717.3	726.9	2.5
	"Syracuse, NY"	"45060"	103291	11829668	873.2	867.8	878.5	2.7
	"Tallahassee, FL"	"45220"	44047	6361301	692.4	686.0	698.9	3.3
	"Tampa-St. Petersburg-Clearwater, FL"	"45300"	519650	48653674	1068.1	1065.2	1071.0	1.5
	"Toledo, OH"	"45780"	103678	11031944	939.8	934.1	945.5	2.9
	"Trenton, NJ"	"45940"	51673	6536429	790.5	783.7	797.4	3.5
	"Tucson, AZ"	"46060"	147371	16938659	870.0	865.6	874.5	2.3
	"Tulsa, OK"	"46140"	153053	16478278	928.8	924.2	933.5	2.4
	"Urban Honolulu, HI"	"46520"	121052	16832407	719.2	715.1	723.2	2.1
	"Utica-Rome, NY"	"46540"	57607	5367579	1073.2	1064.5	1082.0	4.5
	"Vallejo-Fairfield, CA"	"46700"	50433	7434244	678.4	672.5	684.3	3.0
	"Virginia Beach-Norfolk-Newport News, VA-NC"	"47260"	228567	29854379	765.6	762.5	768.7	1.6
	"Visalia-Porterville, CA"	"47300"	50036	7552146	662.5	656.7	668.3	3.0
	"Waco, TX"	"47380"	40016	4441994	900.9	892.0	909.7	4.5
	"Washington-Arlington-Alexandria, DC-VA-MD-WV"	"47900"	564265	98382207	573.5	572.0	575.0	0.8
	"Wichita, KS"	"48620"	94930	11032508	860.5	855.0	865.9	2.8
	"Wilmington, NC"	"48900"	36665	4345487	843.7	835.1	852.4	4.4
	"Winston-Salem, NC"	"49180"	102600	11146868	920.4	914.8	926.1	2.9
	"Worcester, MA-CT"	"49340"	139331	16262459	856.8	852.3	861.3	2.3
	"York-Hanover, PA"	"49620"	64755	7521904	860.9	854.3	867.5	3.4
	"Youngstown-Warren-Boardman, OH-PA"	"49660"	125236	10353629	1209.6	1202.9	1216.3	3.4
	"small metro"	"99400"	4556135	500758326	909.8	909.0	910.7	0.4
	"micropolitan"	"99500"	4827783	480925937	1003.9	1003.0	1004.7	0.5
	"noncore"	"99600"	3870010	341568968	1133.0	1131.9	1134.1	0.6
"Total"			44915066	5435162436	826.4	826.1	826.6	0.1
"---"
"Dataset: Compressed Mortality, 1999-2016"
"Query Parameters:"
"Title: Reported Deaths per 100,000 in CBSA"
"Group By: 2013 CBSA"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/cmf.html for more information."
"---"
"Query Date: Sep 29, 2020 3:46:32 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. Compressed Mortality File"
"1999-2016 on CDC WONDER Online Database, released June 2017. Data are from the Compressed Mortality File 1999-2016 Series 20 No."
"2U, 2016, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/cmf-icd10.html on Sep 29, 2020 3:46:32 PM"
"---"
Caveats:
"1. About national population figures: population figures for 1999 are from the 1990-1999 series of bridged-race intercensal"
"estimates of the July 1 resident population; population figures for 2000 and 2010 are bridged-race April 1 census counts;"
"population figures for 2001-2009 are from the revised 2000-2009 series of bridged-race intercensal estimates of the July 1"
"resident population; population figures for 2011 are bridged-race postcensal estimates of the July 1 resident population, from"
"the Vintage 2011 series released by NCHS on July 18, 2012; population figures for 2012 are bridged-race postcensal estimates of"
"the July 1 resident population, from the Vintage 2012 series released by NCHS on June 13, 2013; population figures for 2013 are"
"bridged-race postcensal estimates of the July 1 resident population, from the Vintage 2013 series released by NCHS on June 26,"
"2014; population figures for 2014 are bridged-race postcensal estimates of the July 1 resident population, from the Vintage 2014"
"series released by NCHS on June 30, 2015. and population figures for 2015 are bridged-race postcensal estimates of the July 1"
"resident population, from the Vintage 2015 series released by NCHS on June 28, 2016. More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#Population Information."
"2. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/cmf.html#Age Group."
"3. The method used to calculate 95% confidence intervals is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#Confidence-Intervals."
"4. The method used to calculate standard errors is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#Standard-Errors."
"5. As of April 3, 2017, the underlying cause of death has been revised for 125 deaths in 2014. More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#2014-Revision."
"6. 2013 CBSA shows data for core based statistical areas (CBSAs) of 250,000 or more population delineated in the June 2013 OMB"
"classification of counties as metropolitan or nonmetropolitan (micropolitan or noncore)."
